"Group No.","Diploma Courses","( Course Code) Degree Courses"
"","1 Civil and Rular Engineering 2 Civil and Sanitary Engineering 3 Civil Engineering 4 Construction Technology 5 Environmental Technology 6 Architectural Assistantship","191 - Civil Engineering[First Shift] 191 - Civil Engineering[Second Shift] 195 - Civil and Water Management Engineering[First Shift] 201 - Environmental Engineering[First Shift] 214 - Environmental Science and Technology[First Shift] 191 - Civil Engineering[Direct Second Year First Shift] 191 - Civil Engineering[Direct Second Year First Shift] 191 - Civil Engineering 191 - Civil Engineering[Second Shift] 191 - Civil Engineering[Direct Second Year Second Shift] 192 - Civil Engineering(Construction Technology)[First Shift] 191 - Civil Engineering[Direct Second Year First Shift][TFWS]"
"3-Computer, Electronics, Electrical, Instrumentation & Bio-Medical Engineering Group","",""
"","301-Sub-group : A",""
"","1 Computer Engineering 2 Computer Technology 3 Information Technology 4 3D Animiation And Graphics 5 Computer Science and Engineering","242 - Computer Science and Engineering[First Shift] 242 - Computer Science and Engineering[Second Shift] 242 - Computer Science and Engineering 245 - Computer Engineering[First Shift] 245 - Computer Engineering[Second Shift] 245 - Computer Engineering 245 - Computer Engineering[Direct Second Year First Shift] 246 - Information Technology[First Shift] 246 - Information Technology[Second Shift] 246 - Information Technology 251 - Computer Technology[First Shift] 254 - Computer Science and Technology 254 - Computer Science and Technology[First Shift] 242 - Computer Science and Engineering[Direct Second Year First Shift] 245 - Computer Engineering[Direct Second Year Second Shift] 246 - Information Technology[Direct Second Year Second Shift] 246 - Information Technology[Direct Second Year First Shift] 242 - Computer Science and Engineering[Direct Second Year Second Shift] 245 - Computer Engineering 245 - Computer Engineering[Direct Second Year First Shift] 242 - Computer Science and Engineering 245 - Computer Engineering[Second Shift] 245 - Computer Engineering[Direct Second Year First Shift][TFWS] 242 - Computer Science and Engineering[Direct Second Year First Shift][TFWS] 246 - Information Technology[Direct Second Year First Shift][TFWS]"
"","302-Sub-group : B",""
"","1 Digital Electronics 2 Electronics and Communication Engineering 3 Electronics and Video Engg 4 Sound and Television Engineering 5 Electronics and Telecommunication 6 Industrial Electronics 7 Electronics and Radio Engineering 8 Electronics Engineering 9 Electronics Production and Maintenance 10 Electronics 11 Electronics Engineering Industry Integrated 12 Electronics and Communication Technology","354 - Electronics Design Technology[First Shift] 370 - Electronics and Communication Engineering[First Shift] 370 - Electronics and Communication Engineering 370 - Electronics and Communication Engineering[Second Shift] 372 - Electronics and Telecommunication Engg[First Shift] 372 - Electronics and Telecommunication Engg[Second Shift] 372 - Electronics and Telecommunication Engg 372 - Electronics and Telecommunication Engg[Direct Second Year First Shift] 376 - Electronics Engineering[First Shift] 376 - Electronics Engineering[Second Shift] 376 - Electronics Engineering 377 - Electronic and Communication Technology[First Shift] 372 - Electronics and Telecommunication Engg[Direct Second Year Second Shift] 376 - Electronics Engineering[Direct Second Year First Shift] 372 - Electronics and Telecommunication Engg 372 - Electronics & Telecommunications Engineering[Direct Second Year First Shift] 376 - Electronics Engineering[Direct Second Year Second Shift] 571 - Electrical and Electronics [Power System][First Shift] 376 - Electronics Engineering 376 - Electronics Engineering 372 - Electronics and Telecommunication Engg[Second Shift] 888 - Electronics System Engineering[First Shift] 572 - Electronics system Engineering[First Shift] 372 - Electronics and Telecommunication Engg[Direct Second Year First Shift][TFWS] 376 - Electronics Engineering[Direct Second Year First Shift][TFWS] 576 - Electronics & Communication Engineering(Sandwich)"
"","303-Sub-group : C",""
"","1 Medical Electronics","461 - Bio Medical Engineering[First Shift]"
"","304-Sub-group : D",""
"","1 Electrical Engineering 2 Electrical Power System 3 Electrical And Electronics Engineering","293 - Electrical Engineering[First Shift] 293 - Electrical Engineering[Second Shift] 293 - Electrical Engineering 297 - Electrical and Electronics Engineering[First Shift] 298 - Electrical Engg [Electrical and Power][First Shift] 299 - Power Engineering[First Shift] 356 - Electrical Engg[Electronics and Power][First Shift] 383 - Electrical and Power Engineering[First Shift] 293 - Electrical Engineering[Direct Second Year First Shift] 293 - Electrical Engineering[Direct Second Year Second Shift] 298 - Electrical Engg [Electrical and Power] 356 - Electrical Engg [Electrical and Power][Second Shift] 293 - Electrical Engineering [Direct Second Year First Shift] 293 - Electrical Engineering [Direct Second Year Second Shift] 293 - Electrical Engineering 293 - Electrical Engineering[Second Shift] 356 - Electrical Engg [Electrical and Power][Second Shift] 356 - Electrical Engg[Electronics and Power] 356 - Electrical Engg[Electronics and Power][Direct Second Year First Shift] 293 - Electrical Engineering [Direct Second Year First Shift][TFWS] 356 - Electrical Engg[Electronics and Power][Direct Second Year First Shift][TFWS] 575 - Electrical & Instrumentation Engineering[First Shift]"
"","305-Sub-group : E",""
"","1 Instrumentation 2 Instrumentation and Control 3 Instrumentation Engineering 4 Instrumentation and Control Engineering","464 - Instrumentation and Control Engineering[First Shift] 466 - Instrumentation Engineering[First Shift] 466 - Instrumentation Engineering"
"4-Mechanical Engineering Group","",""
"","401-Sub-group : A",""
"","1 Automobile Engineering 2 Fabrication Technology 3 Mechanical Engineering 4 Fabrication Technology and Erection Engineering 5 Mechatronics 6 Robotics and Mechatronics 7 Mechatronics Engineering","302 - Aeronautical Engineering[First Shift] 602 - Automobile Engineering[First Shift] 612 - Mechanical Engineering[First Shift] 612 - Mechanical Engineering[Second Shift] 612 - Mechanical Engineering 625 - Mechanical Engineering[Sandwich][First Shift] 612 - Mechanical Engineering[Direct Second Year First Shift] 612 - Mechanical Engineering[Direct Second Year Second Shift] 602 - Automobile Engineering[Direct Second Year First Shift] 002 - Aeronautical Engineering[First Shift] 612 - Mechanical Engineering[Direct Second Year Second Shift] 612 - Mechanical Engineering[Direct Second Year First Shift] 615 - Mechanical & Automation Engineering[First Shift] 612 - Mechanical Engineering[Second Shift] 612 - Mechanical Engineering 602 - Automobile Engineering 625 - Mechanical Engineering[Sandwich] 002 - Aeronautical Engineering 615 - Mechanical & Automation Engineering 624 - Mechatronics Engineering[First Shift] 613 - Mechatronics Engineering[Sandwich] 612 - Mechanical Engineering[Direct Second Year First Shift][TFWS] 602 - Automobile Engineering[Direct Second Year First Shift][TFWS] 499 - Mechanical Engineering (Auto)"
"","402-Sub-group : B",""
"","1 Machine Tool and Maintenance 2 Plant Engineering 3 Production Technology 4 Production Engineering 5 Advanced Diploma in Tool and Die Making","589 - Industrial Engineering[First Shift] 606 - Production Engineering[First Shift] 626 - Production Engineering[Sandwich][First Shift]"
"","403-Sub-group : C",""
"","1 Packaging Technology",""
"","404-Sub Group : D",""
"","1 Metallurgy 2 Metallurgy (Foundry Technology)","692 - Metallurgical Engineering[First Shift]"
"","405-Sub Group : E",""
"","1 Aeronautical Engineering",""
"5-Mining Engineering Group","",""
"","501-Sub-group : A",""
"","1 Mining and Mine Surveying 2 Mining Engineering","701 - Mining Engineering[First Shift]"
"6-Printing Engineering Group","",""
"","601-Sub-group : A",""
"","1 Printing Technology","841 - Printing and Packing Technology[First Shift] 842 - Printing Engineering and Graphics Communication[First Shift]"
"7-Textile Engineering Group","",""
"","701-Sub-group : A",""
"","1 Knitting Technology 2 Man made Fibre Manufacturing 3 Textile Manufacture (Cotton) 4 Man made Textile Technology 5 Garment Technology 6 Dress Designing and Garment Mfg. 7 Handloom Technology 8 Fashion And Clothing Technology","886 - Man Made Textile Technology[First Shift] 895 - Textile Plant Engineering[First Shift] 898 - Textile Engineering (Fashion Technology)[First Shift] 893 - Textile Engineering / Technology[First Shift] 896 - Textile Technology[First Shift] 514 - Fibres and Textile Processing Technology[First Shift]"
"","702-Sub Group : B",""
"","1 Man made Textile Chemistry 2 Textile Technology 3 Textile and Analytical Chemistry 4 Technical Chemistry","890 - Textile Chemistry[First Shift]"
"8-Special Group 1","",""
"","801-Sub-group : A",""
"","1 Chemical Engineering 2 Chemical Technology 3 Technical and Analytical Chemistry 4 Sugar Technology 5 Food Technology 6 Environmental Technology 7 Medical Electronics and Technical Chemistry","082 - Bio Technology[First Shift]"
"9-Special Group 2","",""
"","901-Sub-group : A",""
"","1 Production Engineering 2 Plant Engineering 3 Mechanical Engineering 4 Instrumentation Engineering 5 Instrumentation and Control Engineering","862 - Sugar Technology"
"10-Special Group 3","",""
"","1001-Sub-group : A",""
"","1 Leather Technology 2 Leather Goods and Footwear Technology 3 Agriculture Technology",""
"11-Special Group 4","",""
"","1101-Sub-group : A",""
"","1 Agriculture Engineering 2 Agriculture Technology","011 - Agricultural Engineering[First Shift]"
"12-Mechatronics","",""
"","1201-Mechatronics",""
"","1 Automobile Engineering 2 Fabrication Technology 3 Mechanical Engineering 4 Fabrication Technology and Erection Engineering 5 Machine Tool and Maintenance 6 Plant Engineering 7 Production Technology 8 Production Engineering 9 Digital Electronics 10 Electronics and Communication Engineering 11 Electronics and Video Engg 12 Sound and Television Engineering 13 Electronics and Telecommunication 14 Industrial Electronics 15 Electronics and Radio Engineering 16 Electronics Engineering 17 Electronics Production and Maintenance 18 Electronics 19 Medical Electronics 20 Mechatronics","624 - Mechatronics Engineering[First Shift] 613 - Mechatronics Engineering[Sandwich]"
"13-Electronics and Electrical Engineering","",""
"","1301-Electronics and Electrical",""
"","1 Digital Electronics 2 Electronics and Communication Engineering 3 Electronics and Video Engg 4 Sound and Television Engineering 5 Electronics and Telecommunication 6 Industrial Electronics 7 Electronics and Radio Engineering 8 Electronics Engineering 9 Electronics Production and Maintenance 10 Electronics 11 Medical Electronics 12 Electrical Engineering 13 Electrical Power System","357 - Electronics and Electrical Engineering[First Shift]"
