"Sr. No","Main Group","Sub Group","Course Number","Course Name"
44,3,"302-Sub-group : B",0,"Electronics and Communication Technology"
45,4,"401-Sub-group : A",1,"Automobile Engineering"
46,4,"401-Sub-group : A",2,"Fabrication Technology"
47,4,"401-Sub-group : A",3,"Mechanical Engineering"
48,4,"401-Sub-group : A",4,"Fabrication Technology and Erection Engineering"
49,4,"402-Sub-group : B",1,"Machine Tool and Maintenance"
50,4,"402-Sub-group : B",2,"Plant Engineering"
51,4,"402-Sub-group : B",3,"Production Technology"
52,4,"402-Sub-group : B",4,"Production Engineering"
53,4,"402-Sub-group : B",5,"Advanced Diploma in Tool and Die Making"
54,4,"403-Sub-group : C",1,"Packaging Technology"
55,4,"404-Sub Group : D",1,Metallurgy
56,4,"404-Sub Group : D",2,"Metallurgy (Foundry Technology)"
57,4,"401-Sub-group : A",0,Mechatronics
58,4,"401-Sub-group : A",0,"Robotics and Mechatronics"
59,4,"401-Sub-group : A",0,"Mechatronics Engineering"
60,4,"405-Sub Group : E",5,"Aeronautical Engineering"
61,5,"501-Sub-group : A",1,"Mining and Mine Surveying"
62,5,"501-Sub-group : A",2,"Mining Engineering"
63,6,"601-Sub-group : A",1,"Printing Technology"
64,7,"701-Sub-group : A",1,"Knitting Technology"
65,7,"701-Sub-group : A",2,"Man made Fibre Manufacturing"
66,7,"701-Sub-group : A",3,"Textile Manufacture (Cotton)"
67,7,"701-Sub-group : A",4,"Man made Textile Technology"
68,7,"701-Sub-group : A",5,"Garment Technology"
69,7,"701-Sub-group : A",6,"Dress Designing and Garment Mfg."
70,7,"701-Sub-group : A",7,"Handloom Technology"
71,7,"702-Sub Group : B",1,"Man made Textile Chemistry"
72,7,"702-Sub Group : B",2,"Textile Technology"
73,7,"702-Sub Group : B",3,"Textile and Analytical Chemistry"
74,7,"702-Sub Group : B",4,"Technical Chemistry"
75,7,"701-Sub-group : A",8,"Fashion And Clothing Technology"
76,8,"801-Sub-group : A",1,"Chemical Engineering"
77,8,"801-Sub-group : A",2,"Chemical Technology"
78,8,"801-Sub-group : A",3,"Technical and Analytical Chemistry"
79,8,"801-Sub-group : A",4,"Sugar Technology"
80,8,"801-Sub-group : A",5,"Food Technology"
81,8,"801-Sub-group : A",6,"Environmental Technology"
82,8,"801-Sub-group : A",7,"Medical Electronics and Technical Chemistry"
83,9,"901-Sub-group : A",1,"Instrumentation Engineering"
84,9,"901-Sub-group : A",1,"Instrumentation and Control Engineering"
85,10,"1001-Sub-group : A",0,"Leather Technology"
86,10,"1001-Sub-group : A",0,"Leather Goods and Footwear Technology"
87,10,"1001-Sub-group : A",0,"Agriculture Technology"
88,11,"1101-Sub-group : A",0,"Agriculture Engineering"
89,11,"1101-Sub-group : A",0,"Agriculture Technology"
90,12,"1201-Mechatronics",0,"Electronics and Telecommunication"
91,12,"1201-Mechatronics",0,"Industrial Electronics"
92,12,"1201-Mechatronics",0,"Electronics and Radio Engineering"
93,12,"1201-Mechatronics",0,"Electronics Engineering"
94,12,"1201-Mechatronics",0,"Electronics Production and Maintenance"
95,12,"1201-Mechatronics",0,Electronics
96,12,"1201-Mechatronics",0,"Medical Electronics"
97,12,"1201-Mechatronics",0,Mechatronics
98,13,"1301-Electronics and Electrical",0,"Electronics and Telecommunication"
99,13,"1301-Electronics and Electrical",0,"Industrial Electronics"
100,13,"1301-Electronics and Electrical",0,"Electronics and Radio Engineering"
101,13,"1301-Electronics and Electrical",0,"Electronics Engineering"
102,13,"1301-Electronics and Electrical",0,"Electronics Production and Maintenance"
103,13,"1301-Electronics and Electrical",0,Electronics
104,13,"1301-Electronics and Electrical",0,"Medical Electronics"
105,13,"1301-Electronics and Electrical",0,"Electrical Engineering"
106,13,"1301-Electronics and Electrical",0,"Electrical Power System"
"Total Courses: 106","","","","Printed On: 10-09-2019"
